titles,subtitles,links
US ALL THE WAY,World Cup final predicted by supercomputer as toughest and easiest routes revealed following group stage,https://www.thesun.co.uk/sport/39574050/world-cup-final-supercomputer-prediction-argentina-france-england/
KYLE WALKER,Why England should relish playing the World Cup big boys in Tuchel's system,https://www.thesun.co.uk/sport/39573297/england-world-cup-thomas-tuchel-kyle-walker-harry-kane/
RAGING ROY,'I don’t think he has a clue' – Keane tears into Tuchel despite England win,https://www.thesun.co.uk/sport/39573759/roy-keane-thomas-tuchel-england-win-panama-world-cup/
SEEING DOUBLE,Glam Portugal Wag and identical twin sister go viral during World Cup clash,https://www.thesun.co.uk/sport/39573457/francisco-conceicao-portugal-wag-matilde-neiva-viral-world-cup/
ACTION PACKED,BBC and ITV confirm World Cup last 32 fixtures as England prep for DR Congo,https://www.thesun.co.uk/sport/39573217/bbc-itv-world-cup-matches-england-dr-congo/
FAIR DEAL,"South Africa vs Canada: Bet £10, Get £50 in World Cup free bets with Betfair",https://www.thesun.co.uk/sport/39536812/south-africa-canada-world-cup-betfair-free-bets/
"WINNER, WINNER, CHICKEN DINNER",England Wag bizarrely celebrates with CHICKEN TENDER after Three Lions' World Cup win over Panama,https://www.thesun.co.uk/sport/39568071/megan-pickford-world-cup-england-panama-wags-coleen-rooney/
WONDER-FUL,England fans serenade stars with 'Wonderwall' again after World Cup win,https://www.thesun.co.uk/sport/39572968/england-fans-wonderwall-world-cup-win-panama/
DO THE CONGO,England's World Cup last-32 opponents and route to final confirmed,https://www.thesun.co.uk/sport/39571958/england-world-cup-opponents-dr-congo-win/
LINE DRAWN,Lineker accused of 'fiddling with himself' as Kane breaks his England record,https://www.thesun.co.uk/sport/39573946/gary-lineker-harry-kane-micah-richards-world-cup-record/
LIVE AND LET LIV,TNT Sports host stuns in tiny bikini as she enjoys LA sun during World Cup,https://www.thesun.co.uk/sport/39574102/olivia-buzaglo-stuns-bikini-la-sunshine-world-cup/
BREAKING POINT,Prem won't bring in hated hydration breaks but will adopt two new Fifa rules,https://www.thesun.co.uk/sport/39573889/premier-league-reject-hydration-breaks-world-cup/
PANAMANIA,Jubilant England fans go wild in pubs chucking beers in the air as Three Lions see off Panama to top World Cup group,https://www.thesun.co.uk/sport/39565760/england-fans-party-new-york-panama-world-cup/
GOING FOR GOAL,Meet UK's canniest England fan who went to ALL Three Lions' games for £4k – including accommodation & flights,https://www.thesun.co.uk/sport/39540976/meet-uks-canniest-england-fan-bagged-tickets-4-k/
ENGLAND RATINGS,Bellingham best as Kane breaks record but Saka looks rusty on first start,https://www.thesun.co.uk/sport/39570318/england-ratings-bellingham-shines-kane-breaks-record-saka-rusty/
NICE TUCH,Thomas Tuchel gives Laura Woods huge hug after England top World Cup group,https://www.thesun.co.uk/sport/39571584/thomas-tuchel-laura-woods-england-world-cup-panama/
TRACK RECORD,"Sam Allardyce parties alone as former England manager, 71, takes over DJ booth",https://www.thesun.co.uk/sport/39573716/sam-allardyce-england-dj-panama-boxpark-parties/
ROAD TO GLORY,World Cup last 32 IN FULL as Ronaldo and Modric set for last dance,https://www.thesun.co.uk/sport/39572309/world-cup-cristiano-ronaldo-luka-modric-lionel-messi-england/
SPLITTING HAIRS,Alan Sugar claims Roy Keane is wearing a WIG for ITV World Cup coverage,https://www.thesun.co.uk/sport/39573119/alan-sugar-roy-keane-wearing-wig-itv-world-cup/
TOP CLASS,Get £50 in World Cup 2026 free bets when you bet £10 with Sky Bet,https://www.thesun.co.uk/sport/39315934/sky-bet-world-cup-offer-free-bets-welcome-bonus/
POWER OFFER,Get £50 in free Bet Builder bets with Paddy Power when you bet £10,https://www.thesun.co.uk/sport/39316678/world-cup-free-bets-paddy-power-promo-code/
WORLDIE OFFERS,World Cup 2026 free bets and offers: Best new football sign-up deals,https://www.thesun.co.uk/sport/39273117/world-cup-2026-free-bets-sign-up-offers/
HE SCOT TO GO,Steve Clarke's emotional letter to fans in full as he abruptly QUITS Scotland after World Cup KO,https://www.thesun.co.uk/sport/39571267/scotland-steve-clarke-quits-world-cup-new-deal/
MELTING HOT,Stunning TV presenter Giusy Meloni strips to tiny bikini to give fans eyeful,https://www.thesun.co.uk/sport/39573885/giusy-meloni-strips-bikini-dazn-presenter-italian/
'FOREVER OUR SON',Liverpool's Cody Gakpo and girlfriend announce tragic loss of their baby,https://www.thesun.co.uk/sport/39567075/cody-gakpo-girlfriend-reveals-tragic-baby-loss-world-cup/
KAN'T STOP,Kane breaks Lineker record as he becomes England's all-time top World Cup scorer,https://www.thesun.co.uk/sport/39570269/harry-kane-england-world-cup-record-panama-gary-lineker/
